	105120_RL1500008701-1	105136_RL1500010701-1	105144_RL1500011801-1	105145_RL1500011901-1	105156_RL1500013601-1	105157_RL1500013701-1	105158_RL1500013801-1	105159_RL1500013901-1	105161_RL1500014301-1	105168_RL1500018301-1	106084_RL1500020501-1	106088_RL1500020701-1	118084_RL1500006801-2	118096_RL1500014601-2	118098_RL1500003901-2	118099_RL1500005401-2	118101_RL1500007801-2	118106_RL1500014701-2	118116_RL1500015501-2	118118_RL1500004501-2	150672_RL1500019901-1	150675_RL1500020401-1	150680_RL1500022201-1	150684_RL1500022701-1	150691_RL1500023401-1	150865_RL1500034502-1	150874_RL1500035402-1	150876_RL1500035602-1	150877_RL1500035702-1	150891_RL1500037302-1	150893_RL1500037502-1	150911_RL1500040802-1	153211_RL1500021501-2	153268_RL1500033801-2	153504_RL1500046101-1	153506_RL1500046301-1	153507_RL1500046401-1	153522_RL1500047901-1	153523_RL1500048001-1	153530_RL1500048701-1	153534_RL1500049101-1	153544_RL1500050301-1	153549_RL1500050801-1	153550_RL1500050901-1	153551_RL1500051001-1	153553_RL1500051401-1	159972_RL1500027802-2	159992_RL1500054202-2	160004_RL1500065902-2	160005_RL1500067702-2	160009_RL1500071502-2	160010_RL1500071702-2	160013_RL1500072202-2	160016_RL1500127902-2	160028_RL1500052201-2	160029_RL1500052301-2	160030_RL1500052401-2	160031_RL1500052501-2	160034_RL1500052801-2	160035_RL1500052901-2	160036_RL1500053001-2	160037_RL1500053101-2	160039_RL1500053301-2	160047_RL1500066201-2	160053_RL1500066901-2	160058_RL1500067601-2	160059_RL1500067801-2	160062_RL1500068101-2	160080_RL1500070101-2	160085_RL1500070601-2	163331_RL1500130401-2	163355_RL1500133401-2	163369_RL1500134901-2	165012_RL1500031402-1	165029_RL1500051301-1	165060_RL1500072302-1	168131_RL1500003502-2	168147_RL1500007002-2	168149_RL1500007402-2	168157_RL1500015102-2	168162_RL1500016402-2	168170_RL1500017602-2	168201_RL1500138501-2	172343_RL1500142401-2	172344_RL1500142501-2	172348_RL1500152301-2	172359_RL1500153701-2	172360_RL1500153801-2	175629_RL1500129601-2	175655_RL1500165001-2	176120_RL1400007301-1	176121_RL1400007501-1	176129_RL1500130601-1	176138_RL1500157901-1	176172_RL1500161601-1	176175_RL1500161901-1	176388_RL1500160001-1	188203_RL1400008701-1	188209_RL1500001201-1	188212_RL1500002801-1	188217_RL1500007701-1	188218_RL1500012401-1	191708_RL1400008601-2	191974_RL1500244001-1	27074_RL1000010-1	27075_RL10000011-1	5618_RL10000072-2	5631_RL10000088-2	7601_RL14000008-2	RL15003017	SLCC2479
S.RL15001523	1387	1255	698	1140	481	1295	1131	1220	370	1344	1345	1408	652	1551	927	1276	1243	1444	1302	1233	1293	807	1197	1332	821	1135	1140	1139	1145	1558	1176	1887	1386	2195	1088	1249	704	1407	334	947	673	1535	1005	1236	1373	1335	718	1194	1208	1345	811	1480	1455	686	1872	1849	1489	1492	1489	1339	968	1365	1488	1614	1647	1538	1564	1549	901	807	1495	1396	2136	444	1920	1473	912	1189	1527	1526	578	190	1329	7	4	0	1975	1540	1822	1487	1368	1362	1477	1699	1054	1344	1318	1390	690	1267	1580	1567	1377	1282	881	824	1328	1306	994	1379	1011
S.RL15001537	1417	1308	626	1790	1036	1424	1305	1341	940	1381	2055	2015	763	1931	1143	1349	1317	1789	1374	310	1951	1007	1801	2035	1222	997	1176	1008	1010	1678	1856	1045	2008	1637	1824	981	819	1393	1609	961	2026	1442	1283	915	1104	1450	1168	2013	1993	1583	1309	1619	1821	626	2251	2257	1271	1262	1535	1544	1417	1551	1263	2232	2259	1582	2057	1583	991	1309	1170	1484	2061	1572	2114	1604	932	1860	1545	1834	1085	371	1452	1933	1950	1975	0	1814	991	1597	952	953	1139	1097	1825	1555	1946	968	1144	1815	1619	1620	957	1871	985	947	928	928	1045	2073	1292
S.RL15001538	899	845	785	660	664	1612	1493	1583	564	885	773	883	59	1520	614	860	848	1425	864	1366	755	63	684	767	975	995	1144	1004	1002	1484	1432	2043	865	2041	1332	1722	733	1626	965	954	1472	1498	1758	1082	1607	1366	815	1426	1729	1665	905	1683	1352	793	1935	1935	1712	1710	1694	1361	942	1379	1711	1405	1423	1790	1741	1782	907	905	1916	1593	1937	959	1934	874	755	699	967	1566	716	260	795	1529	1533	1540	1814	0	1973	1619	1147	1147	1908	1366	1330	1485	961	1162	794	948	986	991	1153	1632	964	932	1127	1101	1041	777	1768
F.RL15001296	1560	1474	818	1616	1222	1390	1249	1320	1110	1518	1825	1891	699	1785	1068	1486	1465	1645	1497	629	1766	881	1643	1801	1043	900	919	910	914	1650	1647	60	1884	1784	1700	982	698	1499	1371	929	1900	1457	1422	1113	1314	1482	1451	1727	1790	1539	1199	1656	1830	458	2278	2245	1269	1269	1637	1533	1305	1547	1267	2164	2195	1578	1968	1576	930	1202	824	1434	1587	1242	1679	1609	805	1672	1665	1776	1318	130	1515	1786	1804	1822	991	1973	0	1499	1206	1205	809	1141	1695	1466	1827	1228	1423	1658	1715	1711	1230	1760	973	929	1185	1177	1032	1851	1428
S.RL15001650	1147	1090	572	1364	876	21	17	22	846	1138	1527	1426	667	1343	839	1085	1091	1276	1103	1308	1465	818	1410	1505	910	799	316	812	811	1398	1284	1549	1413	1490	1139	1157	626	574	1244	865	1375	1333	1728	918	1541	1029	995	1339	1471	1362	970	1314	1497	675	1830	1818	1472	1471	1237	1083	1110	1103	1468	1635	1658	34	1569	39	724	968	1472	1059	1581	1316	1478	1269	1040	1391	1216	1329	933	299	1152	1474	1479	1487	1597	1619	1499	0	1160	1160	1462	1112	1205	1156	1352	1177	977	1385	1263	1266	1175	1482	972	949	1140	1124	999	1543	1735
F.RL14000073	845	791	801	1110	1001	986	879	934	906	796	1261	1248	201	1391	266	799	762	1306	790	761	1245	229	1167	1262	1036	975	1129	973	979	924	1032	1228	1234	907	1151	948	263	947	1351	996	1331	950	1378	944	1442	901	1185	1303	1005	1014	1317	1009	1038	283	1345	1325	961	958	922	938	1248	947	963	974	979	1092	1130	1099	904	1317	1192	919	1183	1370	1102	911	301	1191	890	1317	1080	227	871	1359	1360	1368	952	1147	1206	1160	0	0	1162	923	1071	933	1203	0	1164	1052	913	913	0	1100	948	908	0	0	1025	1286	1385
F.RL14000075	838	785	795	1103	998	986	878	933	904	789	1253	1240	203	1389	267	792	755	1305	783	756	1237	230	1161	1254	1027	973	1127	974	977	923	1032	1226	1226	907	1145	938	270	943	1345	988	1326	942	1368	940	1440	894	1178	1297	1002	1005	1315	1000	1030	283	1338	1318	953	950	914	930	1239	939	955	975	980	1090	1128	1103	897	1315	1189	911	1183	1359	1100	903	302	1185	883	1316	1076	226	864	1354	1354	1362	953	1147	1205	1160	0	0	1161	922	1071	927	1195	0	1157	1044	905	905	0	1098	948	908	0	0	1024	1278	1376
F.RL15001306	1374	1291	640	1517	853	1460	1324	1402	809	1352	1702	1772	714	1418	1079	1313	1300	1291	1323	753	1644	899	1557	1682	733	696	951	699	702	1451	1546	842	1763	1909	1502	764	727	1363	1009	692	1567	1233	1276	878	1290	1277	995	1573	1682	1324	1138	1403	1530	471	2045	2012	1037	1036	1423	1271	989	1282	1033	2022	2049	1620	1852	1620	716	1146	12	1234	1562	1100	1949	1402	796	1548	1449	1418	907	144	1291	1441	1464	1477	1139	1908	809	1462	1162	1161	0	1263	1512	1260	1681	1179	976	1370	1491	1492	1184	1638	739	711	1134	1129	776	1737	1282
S.RL15001579	1023	953	888	1217	1158	936	838	881	1047	978	1322	1311	280	1390	437	952	935	1311	961	779	1278	332	1208	1304	1235	1214	1011	1228	1229	1176	1410	1194	1306	285	1571	1110	401	1075	1596	1069	1664	1127	1763	1020	1513	1078	1318	1399	1429	1139	1419	1229	1242	378	1621	1597	1133	1132	1173	1070	1394	1083	1139	1492	1501	1056	1483	1058	1079	1416	1293	1153	1075	1635	1422	1042	429	1248	1065	1513	1222	264	987	1690	1678	1699	1097	1366	1141	1112	923	922	1263	0	1471	1144	1285	935	1296	1201	1087	1087	926	1346	1149	1119	910	901	1207	1330	1769
S.RL15001616	1225	1144	660	1279	413	1033	934	1012	378	1202	1455	1479	577	1154	810	1169	1146	1069	1172	1293	1421	697	1344	1444	956	689	751	692	698	1196	372	1749	1465	1867	355	1366	24	1278	594	799	510	1270	1328	992	1533	836	530	1089	920	1452	970	1175	1563	468	1428	1418	1507	1506	1048	876	816	895	1506	1097	1114	1162	760	1156	809	971	1525	798	1764	657	1780	1330	788	1332	1323	687	451	211	1237	1044	1050	1054	1825	1330	1695	1205	1071	1071	1512	1471	0	928	1376	1085	522	1421	1366	1360	1086	625	593	552	1048	1035	626	1477	1335
S.RL15001619	764	744	170	1241	744	1137	1056	1105	657	758	1356	1454	623	1219	816	754	744	1138	766	1119	1335	718	1260	1349	540	597	783	596	607	776	938	1497	1440	1559	990	848	298	761	915	291	970	764	1758	675	1565	292	914	668	1386	957	891	731	1094	558	1615	1591	997	995	517	301	562	303	999	1571	1600	1255	1331	1260	237	894	1257	304	1346	1055	1550	728	896	1283	794	1019	811	191	712	1334	1339	1344	1555	1485	1466	1156	933	927	1260	1144	928	0	1246	953	901	941	818	811	944	1107	525	501	911	910	558	1400	1765
S.RL15001600	691	656	552	367	725	1347	1254	1294	640	676	388	530	51	1313	571	636	636	1237	647	1396	385	54	358	390	807	943	866	946	956	1207	1270	1896	528	1921	1441	1491	703	1372	807	717	1234	1247	1754	969	1496	1065	932	1040	1579	1358	776	1449	1128	765	1648	1637	1467	1469	1398	1072	907	1084	1468	1238	1258	1507	1609	1512	598	773	1687	1307	1542	863	1610	599	774	376	752	1387	808	215	530	1306	1311	1318	1946	961	1827	1352	1203	1195	1681	1285	1376	1246	0	1220	912	710	754	757	1207	1522	759	727	1183	1151	826	392	1760
F.RL14000087	867	812	824	1130	1020	1001	893	948	924	818	1282	1269	204	1406	267	820	784	1322	812	784	1266	232	1189	1282	1059	993	1145	991	998	953	1051	1252	1255	921	1156	965	270	960	1373	1017	1352	973	1411	964	1461	920	1201	1324	1022	1035	1334	1029	1059	287	1365	1345	983	980	942	956	1270	966	985	992	997	1106	1148	1119	926	1334	1209	938	1196	1400	1121	933	306	1211	911	1330	1098	230	890	1382	1383	1390	968	1162	1228	1177	0	0	1179	935	1085	953	1220	0	1181	1073	934	935	0	1115	966	926	0	0	1043	1306	1419
F.RL15000012	787	699	789	823	9	815	714	771	10	765	985	974	71	868	146	718	684	819	725	863	938	73	848	968	924	872	951	863	861	869	656	1465	957	1316	583	889	126	852	679	818	729	881	807	939	901	842	3	1009	692	885	934	882	859	98	1048	1031	889	890	877	805	885	824	898	594	601	939	743	947	873	932	987	905	1264	777	1124	855	102	880	835	913	5	136	736	682	685	690	1144	794	1423	977	1164	1157	976	1296	522	901	912	1181	0	866	859	860	1172	652	728	684	1127	1119	808	1001	814
F.RL15000028	464	426	280	673	681	1314	1217	1276	578	447	723	798	191	1462	540	445	434	1373	436	1237	719	215	672	731	122	639	811	638	648	857	1373	1680	792	1893	1351	1028	769	1114	691	324	1253	910	1707	794	1556	866	887	1194	1552	1028	755	1078	530	688	1930	1904	1085	1086	1107	926	475	927	1082	1339	1359	1499	1683	1505	355	756	1376	980	1497	834	1539	391	713	690	512	1502	758	169	414	1256	1261	1267	1815	948	1658	1385	1052	1044	1370	1201	1421	941	710	1073	866	0	517	517	1062	1601	511	490	1032	1013	588	759	1713
F.RL15000077	10	6	3	787	706	1256	1182	1224	618	8	848	866	196	1508	526	5	2	1419	6	1246	822	200	789	851	497	535	748	534	545	734	1325	1800	854	1728	1487	1040	732	862	953	198	1481	663	1876	594	1632	649	876	1388	1413	878	993	962	663	734	1857	1834	878	876	832	704	540	705	876	1005	1021	1362	1591	1367	161	992	1499	752	1385	1049	1474	164	851	801	10	1458	770	215	210	1567	1572	1580	1619	986	1715	1263	913	905	1491	1087	1366	818	754	934	859	517	0	6	923	1496	470	448	895	886	500	886	1885
F.RL15000124	12	8	5	789	707	1259	1185	1229	618	10	851	869	197	1505	528	9	8	1414	8	1243	824	200	794	854	497	541	750	540	551	723	1317	1796	857	1725	1481	1038	725	866	951	199	1472	663	1864	596	1632	641	876	1381	1411	867	997	954	661	725	1852	1830	875	874	825	700	542	702	873	1010	1026	1364	1582	1370	160	996	1499	744	1379	1042	1470	165	860	804	12	1456	773	219	215	1555	1560	1567	1620	991	1711	1266	913	905	1492	1087	1360	811	757	935	860	517	6	0	924	1484	473	451	892	883	503	889	1873
F.RL14000086	857	802	814	1121	1010	999	893	949	915	808	1278	1265	204	1403	266	810	774	1324	802	768	1262	231	1187	1278	1047	991	1142	992	997	934	1050	1253	1251	913	1162	953	270	957	1360	1004	1341	961	1398	951	1458	911	1193	1315	1022	1024	1330	1017	1048	286	1348	1328	971	968	930	945	1256	955	973	984	989	1104	1147	1112	915	1330	1212	927	1204	1386	1117	922	304	1210	901	1323	1089	230	879	1370	1370	1377	957	1153	1230	1175	0	0	1184	926	1086	944	1207	0	1172	1062	923	924	0	1114	963	923	0	0	1039	1302	1405
S.RL15002440	1325	1252	586	1527	534	1302	1170	1265	497	1317	1762	1865	693	1491	1115	1275	1257	1391	1276	1393	1715	859	1626	1745	942	597	663	605	606	1477	546	1784	1850	1890	929	1371	558	1506	719	690	1113	1471	1597	909	1777	1071	667	1458	967	1423	1049	1336	1815	809	1475	1467	1526	1524	1291	1092	784	1114	1523	1251	1270	1443	696	1441	684	1050	1643	1230	2014	772	1787	1432	756	1604	1432	1271	586	169	1323	1244	1271	1282	1871	1632	1760	1482	1100	1098	1638	1346	625	1107	1522	1115	652	1601	1496	1484	1114	0	539	504	1075	1058	563	1778	1605
F.RL1000010	435	385	345	895	608	816	746	793	573	413	982	1033	140	1076	248	387	384	1020	381	640	958	169	907	971	539	562	637	565	571	464	556	985	1033	1273	775	481	145	705	758	360	833	389	1082	699	1088	440	741	953	649	467	936	505	564	238	983	948	371	370	471	450	567	457	371	673	682	903	708	892	433	943	737	518	955	812	867	435	194	904	463	643	657	120	399	870	875	881	985	964	973	972	948	948	739	1149	593	525	759	966	728	511	470	473	963	539	0	1	928	915	2	994	1089
F.RL10000011	412	363	331	853	567	798	730	778	533	391	940	991	128	1027	237	367	367	971	360	612	916	157	873	929	524	533	625	536	541	440	521	947	991	1236	744	460	139	690	701	349	779	375	1024	677	1053	417	697	908	613	451	906	493	550	228	938	903	362	361	456	431	541	438	361	638	647	885	673	871	412	913	709	498	930	765	826	412	182	861	441	625	611	116	382	813	818	824	947	932	929	949	908	908	711	1119	552	501	727	926	684	490	448	451	923	504	1	0	888	875	1	952	1031
F.RL10000072	824	771	784	1089	969	963	863	918	883	775	1241	1227	194	1381	256	778	741	1296	769	742	1223	221	1148	1240	1019	957	1105	958	961	911	1014	1206	1213	898	1113	923	265	931	1310	974	1292	928	1327	938	1415	883	1147	1277	983	992	1296	986	1018	272	1323	1303	940	937	902	918	1225	928	942	958	963	1069	1105	1078	886	1296	1160	900	1167	1324	1085	894	294	1172	870	1297	1047	222	854	1321	1319	1328	928	1127	1185	1140	0	0	1134	910	1048	911	1183	0	1127	1032	895	892	0	1075	928	888	0	0	1003	1264	1334
F.RL10000088	815	762	775	1070	961	950	845	899	869	766	1206	1198	188	1352	249	769	732	1267	760	734	1195	215	1119	1212	995	948	1088	949	952	893	995	1198	1184	888	1087	918	249	926	1285	963	1268	921	1304	925	1392	876	1140	1252	972	985	1270	977	997	270	1308	1288	933	930	892	912	1209	917	933	940	945	1055	1092	1063	878	1270	1156	893	1158	1300	1074	880	285	1143	861	1281	1040	215	845	1300	1298	1306	928	1101	1177	1124	0	0	1129	901	1035	910	1151	0	1119	1013	886	883	0	1058	915	875	0	0	991	1236	1312
F.RL14000008	462	404	369	952	674	825	753	801	637	440	1065	1116	140	1122	260	412	407	1049	402	671	1041	170	976	1054	614	584	653	586	593	485	580	1047	1116	1337	845	513	145	735	870	392	943	421	1240	747	1186	476	824	1031	676	499	1026	555	642	238	1030	996	404	403	505	482	604	489	403	706	715	919	740	906	464	1033	778	551	1001	959	907	464	197	986	493	660	725	119	431	983	988	994	1045	1041	1032	999	1025	1024	776	1207	626	558	826	1043	808	588	500	503	1039	563	2	1	1003	991	0	1076	1247
S.RL15003017	819	772	672	9	793	1451	1333	1408	664	779	4	141	6	1333	598	763	752	1259	778	1491	7	15	3	6	807	1005	975	1013	1020	1327	1577	1931	143	2041	1494	1606	720	1505	836	806	1328	1374	1627	1173	1456	1193	1022	1044	1857	1558	704	1615	1187	749	1833	1824	1614	1614	1575	1224	958	1236	1613	1595	1612	1668	1911	1664	752	702	1758	1478	1698	703	1849	721	766	7	881	1465	881	188	639	1367	1367	1379	2073	777	1851	1543	1286	1278	1737	1330	1477	1400	392	1306	1001	759	886	889	1302	1778	994	952	1264	1236	1076	0	1636
R.SLCC2479	1582	1445	782	1267	562	1522	1316	1435	405	1529	1594	1548	800	1810	1244	1460	1421	1641	1488	781	1479	1064	1340	1575	1177	1238	1394	1248	1252	1909	1537	1508	1523	2359	1459	1175	852	1721	636	1165	1034	1678	52	1348	760	1653	849	1706	1731	1824	985	1751	1720	652	2224	2201	1517	1513	1781	1770	1235	1791	1510	1972	2010	1815	1812	1825	1224	984	1335	1682	2595	371	2367	1851	923	1321	1781	1862	666	400	1641	965	987	1011	1292	1768	1428	1735	1385	1376	1282	1769	1335	1765	1760	1419	814	1713	1885	1873	1405	1605	1089	1031	1334	1312	1247	1636	0
