	105113_RL1500001701-1	105119_RL1500008401-1	105121_RL1500008801-1	105125_RL1500009401-1	105126_RL1500009501-1	105128_RL1500009701-1	105131_RL1500010001-1	105132_RL1500010101-1	105134_RL1500010501-1	105137_RL1500010901-1	105141_RL1500011501-1	105150_RL1500012601-1	105164_RL1500017901-1	106070_RL1500019201-1	106072_RL1500019401-1	106094_RL1500021001-1	118145_RL1500014901-2	150653_RL1500002901-1	150663_RL1500012001-1	150667_RL1500013201-1	150669_RL1500014101-1	150670_RL1500019301-1	150678_RL1500022001-1	150695_RL1500023801-1	150863_RL1500024501-1	150920_RL1500042302-1	150921_RL1500042602-1	150922_RL1500042802-1	150923_RL1500042902-1	150930_RL1500043602-1	153223_RL1500026701-2	153226_RL1500027001-2	153230_RL1500027401-2	153235_RL1500028101-2	153242_RL1500028801-2	153246_RL1500029201-2	153247_RL1500029301-2	153248_RL1500029401-2	153252_RL1500029801-2	153254_RL1500030001-2	153259_RL1500030501-2	153263_RL1500033201-2	153265_RL1500033401-2	153266_RL1500033501-2	153271_RL1500034101-2	153280_RL1500042402-2	153281_RL1500042502-2	153508_RL1500046501-1	153547_RL1500050601-1	159975_RL1500032302-2	159978_RL1500038702-2	160003_RL1500065702-2	160018_RL1500128202-2	160033_RL1500052701-2	160048_RL1500066301-2	160051_RL1500066601-2	160075_RL1500069501-2	160093_RL1500071601-2	163343_RL1500132301-2	163351_RL1500133201-2	163356_RL1500133501-2	165013_RL1500031502-1	168139_RL1500005702-2	168140_RL1500005902-2	172327_RL1500010601-2	172367_RL1500155301-2	172368_RL1500155401-2	172373_RL1500156101-2	175637_RL1500132101-2	175641_RL1500132701-2	176149_RL1500159301-1	176151_RL1500159501-1	176161_RL1500160501-1	176181_RL1500162901-1	176189_RL1500163801-1	176395_RL1500164201-1	176431_RL1500165301-1	177519_RL1500029101-2	177520_RL1500029901-2	177522_RL1500033001-2	177523_RL1500033701-2	177533_RL1500129001-2	177548_RL1500154501-2	177558_RL1500157601-2	177560_RL1500158001-2	177561_RL1500158201-2	177568_RL1500164001-2	188213_RL1500005201-1	188214_RL1500006701-1	188223_RL1500029001-1	188225_RL1500035901-1	189887_RL1500243201-2	191714_RL1500017101-2	227112_RL1500300103-2	227118_RL1500300803-2	CP006862	RL15003015	RL15003025	RL15003028
F.RL15000290	1241	4	1245	1304	1259	2070	1342	55	1257	1416	228	1016	1112	12	10	1479	2886	1095	1456	2325	2742	2159	1366	1351	2253	1409	1404	1422	1401	1223	1465	1398	1455	2357	1248	1427	1407	1412	2374	1418	1349	1648	1428	1401	2188	1421	1406	1360	3880	1192	1250	1439	1513	949	3037	1104	1351	872	1391	1404	3068	1199	2015	2065	1407	2396	1026	1440	1389	1354	3453	1385	1298	1223	1407	1060	1401	1362	1415	1648	4	2549	31	1176	1184	1426	1417	1504	2750	0	1420	1213	1405	2418	1318	2890	1236	1224	1004
F.RL15000359	36	1360	651	684	639	1498	709	1248	646	745	1074	2364	906	38	36	765	2386	1309	572	1913	3025	2876	1248	1370	3303	27	27	28	27	852	765	739	754	1687	1401	30	29	30	1494	1358	1241	842	30	1337	2906	29	27	26	3309	1031	1086	50	1073	1284	2452	1490	1720	1300	951	952	2491	1558	2410	2726	751	1938	1093	747	950	1408	4027	25	1412	1058	31	1482	1477	30	30	843	1453	2801	33	1193	861	31	25	1546	2798	1420	0	504	1084	1958	1393	3263	870	866	1210
S.RL15002432	431	1170	964	1012	957	1792	1037	1148	967	1130	1284	2163	1060	55	53	1156	2596	1393	948	2156	2930	2584	1345	1168	3131	503	487	504	487	606	1153	1114	1144	2063	1409	506	497	498	1855	1415	1336	1312	506	1394	2615	497	491	475	3567	1104	1332	515	1343	1069	2725	1205	1698	1223	1186	1202	2750	1206	2323	2452	1122	2196	1041	1129	1191	1072	3695	483	1287	900	489	1160	1468	479	506	1317	1248	2819	50	1207	866	503	499	1539	2560	1213	504	0	1304	2227	1344	3076	884	875	964
F.RL15000171	884	1290	748	787	756	1555	817	1151	744	877	1123	1904	837	45	45	934	2732	1019	1159	1689	2431	2360	1352	1358	2753	1077	1087	1098	1090	1555	937	872	907	1810	1343	1105	1086	1095	2021	932	1324	1048	1103	900	2384	1110	1092	1013	3769	750	966	1116	852	829	2913	1113	1406	1488	843	845	2949	1430	2055	2215	894	1762	1313	892	839	1193	3870	1071	1256	1347	1066	1064	1422	1007	1084	1042	1453	2752	41	1165	1074	1101	1085	1322	2457	1405	1084	1304	0	1768	1275	2438	1108	1108	1358
S.RL15003001	1588	2229	1473	1582	1517	1535	1623	2088	1457	1680	2103	2095	1793	956	932	1786	2711	2004	2020	62	2230	2219	1956	2115	2517	1959	1978	1981	1963	2473	1786	1619	1765	1794	2257	2015	1980	1955	1653	1880	1933	1687	1982	1864	2225	1974	1992	1836	3390	1731	1877	1989	930	1848	3776	2170	1473	2636	1207	1225	2921	1479	1959	2096	1735	11	2174	1753	1183	1964	4119	1915	2115	2105	1926	2097	981	1921	1975	1680	2483	2783	957	727	2139	1985	1947	2243	2184	2418	1958	2227	1768	0	1865	2221	2191	2212	2257
S.RL15003008	1122	1237	932	978	941	1745	998	1209	914	1098	1239	1895	1100	59	57	1144	2914	1094	1440	1814	2619	2356	404	1155	2637	1400	1392	1412	1388	1401	1142	1084	1134	2029	1213	1425	1403	1385	2374	1274	384	928	1411	1268	2363	1391	1407	1306	3950	1071	1280	1417	948	882	3092	1090	1278	1453	1154	1180	3124	1223	2019	2235	1097	1857	1116	1111	1130	961	3668	1355	1227	908	1359	1056	1482	1342	1400	929	1373	2820	54	1204	1403	1408	1419	1307	2620	1318	1393	1344	1275	1865	0	2736	1441	1416	1142
R.CP006862	2490	2591	1972	2190	2115	1879	2282	2390	2039	2452	2618	2074	2242	1547	1473	2632	3089	2648	2974	2224	1215	2405	2895	2632	1387	3234	3249	3272	3246	3239	2684	2399	2627	2457	2787	3360	3242	3231	2209	2509	2802	2917	3291	2414	2433	3284	3273	2963	3929	2600	2657	3316	2683	2415	4788	2563	1761	3026	2728	2825	3426	1480	1764	2105	2556	2210	2790	2550	2672	2710	4353	3131	2734	2936	3166	2320	49	3097	3269	2907	3029	2827	1491	994	2841	3316	3278	2913	1035	2890	3263	3076	2438	2221	2736	0	2992	2931	2966
S.RL15003015	754	1186	797	856	804	1639	869	1084	800	945	1160	2215	590	54	52	976	2713	1107	856	2136	2763	2496	1434	1334	3135	861	869	869	864	1083	973	939	960	1910	1265	878	866	867	2064	877	1416	1252	869	854	2516	875	867	835	3711	684	932	903	1277	785	2814	1170	1513	1186	1144	1146	2842	1245	2050	2358	946	2176	946	947	1136	1169	3748	860	1107	1022	878	1106	1552	835	862	1248	1265	2814	49	1252	36	877	877	1419	2908	1236	870	884	1108	2191	1441	2992	0	37	907
S.RL15003025	759	1175	796	855	804	1619	869	1088	800	934	1162	2164	615	53	52	968	2689	1089	861	2123	2747	2465	1411	1284	3120	859	868	867	863	1033	966	929	951	1878	1248	877	867	868	2098	882	1391	1248	865	860	2480	873	866	832	3701	719	946	894	1285	771	2802	1161	1481	1206	1141	1144	2821	1202	2053	2321	937	2201	912	939	1133	1068	3684	857	1063	979	869	1094	1546	835	862	1243	1256	2791	48	1199	7	876	860	1374	2890	1224	866	875	1108	2212	1416	2931	37	0	872
S.RL15003028	1035	978	999	1044	998	1854	1068	940	993	1161	1091	1827	975	53	52	1178	2811	970	1197	2224	2912	2217	1129	1158	2905	1198	1196	1212	1194	857	1176	1140	1173	2143	991	1224	1198	1197	2165	1189	1134	1258	1214	1181	2235	1205	1192	1146	3895	1167	1140	1214	1330	894	2990	961	1257	1179	1236	1250	3002	1012	2095	2126	1152	2264	131	1162	1234	888	3515	1177	929	820	1179	944	1600	1151	1201	1265	1045	2831	49	1300	889	1216	1199	1437	2773	1004	1210	964	1358	2257	1142	2966	907	872	0
